image_id,status,reason,logged_at_utc
"LC08_136045_20140118,LC08_136046_20140118",ok,length_m=84389.0 rss_mb=603 peak_mb=997,2026-08-09T06:52:11.849620+00:00
"LC08_135045_20141213,LC08_135046_20141213",ok,length_m=44812.2 rss_mb=804 peak_mb=997,2026-08-09T06:52:34.367554+00:00
"LC08_136045_20141220,LC08_136046_20141220",ok,length_m=76257.5 rss_mb=656 peak_mb=997,2026-08-09T06:53:07.278755+00:00
"LC08_135045_20151130,LC08_135046_20151130",ok,length_m=48169.5 rss_mb=656 peak_mb=997,2026-08-09T06:53:33.682827+00:00
"LC08_136045_20160108,LC08_136046_20160108",ok,length_m=88653.4 rss_mb=656 peak_mb=997,2026-08-09T06:53:58.421037+00:00
"20161120T042052_20161120T042434_T46QCJ,20161120T042052_20161120T042434_T46QDH,20161120T042052_20161120T042434_T46QDJ",ok,length_m=57599.8 rss_mb=602 peak_mb=3077,2026-08-09T06:56:41.039110+00:00
"20171120T042049_20171120T042828_T46QCJ,20171120T042049_20171120T042828_T46QDJ",ok,length_m=81731.5 rss_mb=653 peak_mb=3077,2026-08-09T06:59:05.086770+00:00
"20181130T042121_20181130T042551_T46QCJ,20181130T042121_20181130T042551_T46QDH,20181130T042121_20181130T042551_T46QDJ",ok,length_m=65154.5 rss_mb=654 peak_mb=3077,2026-08-09T07:01:40.765955+00:00
"20191105T041941_20191105T042414_T46QCJ,20191105T041941_20191105T042414_T46QDH,20191105T041941_20191105T042414_T46QDJ",ok,length_m=84301.9 rss_mb=656 peak_mb=3077,2026-08-09T07:04:09.488381+00:00
"20201109T042011_20201109T042039_T46QCJ,20201109T042011_20201109T042039_T46QDH,20201109T042011_20201109T042039_T46QDJ",ok,length_m=58112.9 rss_mb=654 peak_mb=3077,2026-08-09T07:06:35.412198+00:00
"LC09_136045_20211119,LC09_136046_20211119",ok,length_m=86162.2 rss_mb=603 peak_mb=3077,2026-08-09T07:07:00.514572+00:00
"20221114T042029_20221114T043106_T46QCJ,20221114T042029_20221114T043106_T46QDH,20221114T042029_20221114T043106_T46QDJ",ok,length_m=88018.7 rss_mb=620 peak_mb=3077,2026-08-09T07:09:35.002586+00:00
"20231109T042009_20231109T043050_T46QCJ,20231109T042009_20231109T043050_T46QDH,20231109T042009_20231109T043050_T46QDJ",ok,length_m=81003.2 rss_mb=619 peak_mb=3077,2026-08-09T07:12:07.556246+00:00
"20241123T042019_20241123T043006_T46QCJ,20241123T042019_20241123T043006_T46QDH,20241123T042019_20241123T043006_T46QDJ",ok,length_m=88719.0 rss_mb=654 peak_mb=3077,2026-08-09T07:14:29.639631+00:00
LT05_136045_19880212,ok,length_m=74085.8 rss_mb=585 peak_mb=900,2026-08-24T05:16:44.703504+00:00
"LT05_135045_19880221,LT05_135046_19880221",ok,length_m=50347.7 rss_mb=686 peak_mb=915,2026-08-24T05:17:13.489626+00:00
LT05_136045_19890318,ok,length_m=90679.4 rss_mb=690 peak_mb=915,2026-08-24T05:17:42.991671+00:00
LT05_136045_19891113,ok,length_m=80548.5 rss_mb=697 peak_mb=915,2026-08-24T05:18:10.303583+00:00
"LT05_135045_19891122,LT05_135046_19891122",ok,length_m=49994.1 rss_mb=697 peak_mb=915,2026-08-24T05:18:35.184070+00:00
"LT05_135045_19910128,LT05_135046_19910128",ok,length_m=54847.3 rss_mb=698 peak_mb=915,2026-08-24T05:18:58.718425+00:00
"LT05_136045_19910204,LT05_136046_19910204",ok,length_m=74129.0 rss_mb=699 peak_mb=915,2026-08-24T05:19:27.649270+00:00
LT05_136045_19911119,ok,length_m=78170.1 rss_mb=702 peak_mb=915,2026-08-24T05:19:52.732639+00:00
"LT05_135045_19920115,LT05_135046_19920115",ok,length_m=44951.6 rss_mb=702 peak_mb=915,2026-08-24T05:20:17.142799+00:00
"LT05_135045_19930202,LT05_135046_19930202",ok,length_m=51681.5 rss_mb=702 peak_mb=915,2026-08-24T05:20:39.395477+00:00
LT05_136045_19930225,ok,length_m=84688.7 rss_mb=702 peak_mb=915,2026-08-24T05:21:08.964493+00:00
LT05_136045_19931124,ok,length_m=84895.4 rss_mb=702 peak_mb=915,2026-08-24T05:21:35.782785+00:00
