image_id,sensor,acq_datetime_utc,season_complete,aoi_cloud_pct,aoi_coverage_pct,status,reason,length_m,pct_aoi_alongshore_covered,flags
"LE07_136045_20021227,LE07_136046_20021227",L7,2002-12-27 04:07:23+00:00,True,0.0053679373732219,93.61880634335724,extracted,,84195.75239635109,91.51712216994684,landsat_cloud_mask_issue
"LE07_136045_20030128,LE07_136046_20030128",L7,2003-01-28 04:07:32+00:00,True,0.0,95.45963019016912,extracted,,87198.34805039791,94.7808130982586,landsat_cloud_mask_issue
"LE07_135045_20030222,LE07_135046_20030222",L7,2003-02-22 04:01:31+00:00,True,0.0033205797028979,50.64979930249392,extracted,,52722.62375911667,57.3071997381703,landsat_cloud_mask_issue
LE07_136045_20030301,L7,2003-03-01 04:07:43+00:00,True,0.0,93.42962426794762,extracted,,84975.54553627041,92.36472340898956,landsat_cloud_mask_issue
"LE07_135045_20030310,LE07_135046_20030310",L7,2003-03-10 04:01:36+00:00,True,0.0355126090018703,52.08922813713232,extracted,,53336.18911068653,57.97411859857231,landsat_cloud_mask_issue
LE07_136045_20030402,L7,2003-04-02 04:07:46+00:00,True,8.936540286827993,93.48226623675724,extracted,,76991.818793438,83.68675955808477,landsat_cloud_mask_issue
"LE07_135045_20030411,LE07_135046_20030411",L7,2003-04-11 04:01:37+00:00,True,0.0,51.67302757123117,extracted,,54299.837521799716,59.021562523695344,landsat_cloud_mask_issue
LE07_136045_20030418,L7,2003-04-18 04:07:47+00:00,True,8.852403896456261,92.60051325919588,extracted,,84299.23623588616,91.62960460422408,landsat_cloud_mask_issue
"LE07_135045_20030427,LE07_135046_20030427",L7,2003-04-27 04:01:36+00:00,True,0.0618254839698885,52.00039481476607,extracted,,53336.309108982015,57.97424903150219,landsat_cloud_mask_issue
LE07_136045_20031112,L7,2003-11-12 04:07:34+00:00,True,0.0,61.05645851154833,extracted,,44740.24188982101,48.63069770632718,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20031128,LE07_136046_20031128",L7,2003-11-28 04:07:42+00:00,True,0.0,61.07948937290255,extracted,,46281.78864639987,50.30629200695638,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20031214,LE07_136046_20031214",L7,2003-12-14 04:07:48+00:00,True,0.0,62.071461472659074,extracted,,49154.04529381234,53.428310101969934,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20031230,LE07_136046_20031230",L7,2003-12-30 04:07:56+00:00,True,0.0135309294761588,61.89050470487596,extracted,,47986.73294481308,52.15949233131856,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20040115,LE07_136046_20040115",L7,2004-01-15 04:07:58+00:00,True,0.0,64.09159702572876,extracted,,49509.81599676385,53.81501738778679,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20040216,L7,2004-02-16 04:08:09+00:00,True,0.0643059363816956,62.76896755938672,extracted,,48264.404475734475,52.46130921275486,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20040303,L7,2004-03-03 04:08:12+00:00,True,0.2398458126628017,63.12594591037705,extracted,,47539.99289213682,51.67390531754002,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20041029,L7,2004-10-29 04:07:51+00:00,True,0.0359386518541325,61.34927946305192,extracted,,43191.81944195169,46.947629828208356,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20041114,LE07_136046_20041114",L7,2004-11-14 04:07:58+00:00,True,0.002663383984978,62.8939922353096,extracted,,47076.44238238277,51.170046067807355,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20041130,L7,2004-11-30 04:08:08+00:00,True,0.0,62.49588734618675,extracted,,47442.65217772137,51.568100193175404,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20041216,L7,2004-12-16 04:08:14+00:00,True,0.5369637416812744,62.39224847009278,extracted,,46973.103534401984,51.05772123304563,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050101,L7,2005-01-01 04:08:23+00:00,True,0.0,62.63900769888794,extracted,,47246.53800086165,51.35493260963223,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050117,L7,2005-01-17 04:08:26+00:00,True,0.0,64.08337171810226,extracted,,48583.26089199903,52.807892273911996,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050202,L7,2005-02-02 04:08:31+00:00,True,14.273928906281853,64.45515562282029,extracted,,37228.94645935414,40.46624615147189,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050218,L7,2005-02-18 04:08:39+00:00,True,15.01545263551468,62.24748305586629,extracted,,39684.58181710985,43.13541501859766,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050407,L7,2005-04-07 04:08:39+00:00,True,0.0714908653407653,64.10804764098177,extracted,,47553.51041506225,51.68859827724158,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050423,L7,2005-04-23 04:08:34+00:00,True,5.3757016656389895,65.85510298085148,extracted,,46805.50214480898,50.87554580957498,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20050914,L7,2005-09-14 04:08:05+00:00,True,10.463499147968646,64.48970191485162,extracted,,47676.22982362729,51.82198893872532,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20060205,LE07_136046_20060205",L7,2006-02-05 04:09:03+00:00,True,2.134274299612508,62.29683490162532,extracted,,46958.17897942064,51.04149889067461,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20060221,LE07_136046_20060221",L7,2006-02-21 04:09:07+00:00,True,9.495697364517545,62.13890899519642,extracted,,46132.595755090006,50.144125820750006,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20060309,LE07_136046_20060309",L7,2006-03-09 04:09:08+00:00,True,0.0,62.347831808909646,extracted,,47192.41300943036,51.29610109720692,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20060325,L7,2006-03-25 04:09:07+00:00,True,11.310258611506244,62.9022175429361,extracted,,46310.15271484361,50.33712251613436,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20060410,L7,2006-04-10 04:09:04+00:00,True,25.463004707983465,64.03730999539383,extracted,,62834.47153073048,68.29833862035922,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20060917,L7,2006-09-17 04:08:33+00:00,True,29.789924827961507,60.17635059551228,extracted,,40152.050751667106,43.64353342572512,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20061104,L7,2006-11-04 04:08:49+00:00,True,0.0,60.24215305652432,extracted,,47830.314867573914,51.98947268214555,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20061120,L7,2006-11-20 04:09:01+00:00,True,0.0,58.94255445153649,extracted,,44006.62365741358,47.833286584145185,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20061206,L7,2006-12-06 04:09:09+00:00,True,1.9386316621005504,58.949134697637696,extracted,,40124.14824738769,43.613204616725746,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20061222,L7,2006-12-22 04:09:14+00:00,True,0.2109688335459169,60.312890702112256,extracted,,44835.920119982875,48.73469578259008,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20070123,LE07_136046_20070123",L7,2007-01-23 04:09:18+00:00,True,7.894369296989187,63.91557544252156,extracted,,35816.20537621109,38.93065801762075,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20070208,LE07_136046_20070208",L7,2007-02-08 04:09:25+00:00,True,29.522796536092024,62.55181943804698,extracted,,37000.12611475089,40.2175283855988,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20070224,L7,2007-02-24 04:09:30+00:00,True,0.0,61.4858195696519,extracted,,46432.13842056619,50.469715674528466,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20070312,LE07_136046_20070312",L7,2007-03-12 04:09:33+00:00,True,0.0055056966147414,60.82779495953149,extracted,,49222.319008681974,53.50252066161084,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20070328,LE07_136046_20070328",L7,2007-03-28 04:09:34+00:00,True,0.1487735381727262,60.50207277752188,extracted,,43573.21330073838,47.362188370367804,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20070429,L7,2007-04-29 04:09:30+00:00,True,5.314602346483978,63.87609396591433,extracted,,45677.010775401715,49.64892475587143,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20070531,L7,2007-05-31 04:09:17+00:00,True,16.84439248195886,67.03132197144174,extracted,,41502.63746996804,45.11156246735656,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20071022,L7,2007-10-22 04:08:54+00:00,True,0.0,64.97005988023952,extracted,,49869.64625085268,54.206137229187696,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20071107,L7,2007-11-07 04:09:05+00:00,True,5.573280644144283,63.09962492597223,extracted,,41025.29603462469,44.5927130811138,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20071209,L7,2007-12-09 04:09:19+00:00,True,11.061946237189831,61.13048628018688,extracted,,32781.20801896113,35.63174784669688,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20071225,L7,2007-12-25 04:09:22+00:00,True,0.0,61.26373626373627,extracted,,45409.66321321681,49.35832957958349,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20080110,L7,2008-01-10 04:09:23+00:00,True,0.0,61.90037507402777,extracted,,46765.12948844498,50.8316624874402,"slc_off,landsat_cloud_mask_issue"
"LE07_136045_20080227,LE07_136046_20080227",L7,2008-02-27 04:09:15+00:00,True,0.0,65.67085609001776,extracted,,50340.78336263974,54.71824278547798,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20080330,L7,2008-03-30 04:09:11+00:00,True,15.13795030915816,64.66901362110943,extracted,,38659.81589730727,42.02153901881225,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20080415,L7,2008-04-15 04:09:09+00:00,True,12.96522922167695,63.31677304731197,extracted,,41963.29481977293,45.612276978014044,"slc_off,landsat_cloud_mask_issue"
LE07_136045_20081109,L7,2008-11-09 04:08:06+00:00,True,0.0,65.71362768967559,extracted,,50735.395203820284,55.14716869980465,"slc_off,landsat_cloud_mask_issue"
